,ID,bebidas,carnes,cereales,com_rapida,dulces,frutas,lacteos,leguminosas,miscelaneos,pescado,prod_maiz,sopas,verduras,Edad,Sexo,Entidad
165,47512,76.0,0.0,34.0,4.0,42.0,192.0,17.0,0.0,51.0,4.0,0.0,12.0,180.0,25,2,1
166,48112,57.0,20.0,25.0,4.0,42.0,64.0,34.0,24.0,68.0,8.0,32.0,12.0,216.0,49,2,1
167,48313,0.0,80.0,220.0,0.0,0.0,16.0,68.0,36.0,68.0,0.0,64.0,42.0,180.0,30,1,1
168,48511,114.0,20.0,17.0,0.0,98.0,128.0,68.0,18.0,51.0,0.0,0.0,0.0,216.0,48,2,1
169,49411,76.0,60.0,59.0,0.0,0.0,32.0,0.0,12.0,68.0,8.0,32.0,54.0,90.0,62,1,1
170,49511,76.0,60.0,34.0,4.0,70.0,32.0,17.0,0.0,136.0,0.0,0.0,0.0,90.0,22,1,1
171,49512,19.0,80.0,29.0,4.0,28.0,32.0,17.0,0.0,102.0,0.0,48.0,0.0,54.0,19,2,1
172,49521,133.0,50.0,17.0,0.0,126.0,64.0,34.0,24.0,85.0,0.0,0.0,24.0,684.0,44,1,1
173,49523,57.0,90.0,106.0,12.0,154.0,0.0,0.0,6.0,119.0,0.0,16.0,0.0,36.0,17,1,1
174,50111,95.0,20.0,23.0,0.0,14.0,16.0,68.0,12.0,102.0,0.0,24.0,6.0,18.0,31,2,1
175,50214,19.0,30.0,25.0,4.0,56.0,64.0,68.0,0.0,102.0,8.0,32.0,12.0,54.0,17,2,1
176,50217,57.0,80.0,38.0,0.0,14.0,48.0,34.0,6.0,0.0,0.0,16.0,6.0,108.0,61,2,1
177,50412,114.0,60.0,127.0,24.0,42.0,0.0,119.0,12.0,153.0,4.0,32.0,0.0,36.0,25,2,1
178,50512,57.0,60.0,72.0,8.0,14.0,32.0,17.0,24.0,119.0,8.0,16.0,18.0,162.0,62,2,1
179,51111,380.0,120.0,99.0,0.0,42.0,16.0,238.0,0.0,68.0,0.0,56.0,12.0,36.0,29,1,1
180,51212,114.0,40.0,19.0,4.0,14.0,32.0,34.0,12.0,51.0,0.0,8.0,12.0,198.0,76,2,1
181,52114,57.0,30.0,70.0,0.0,28.0,64.0,17.0,6.0,68.0,0.0,8.0,18.0,72.0,66,2,1
182,52211,190.0,40.0,63.0,0.0,98.0,0.0,153.0,12.0,68.0,8.0,48.0,12.0,270.0,64,1,1
183,53112,76.0,30.0,78.0,4.0,56.0,48.0,17.0,6.0,136.0,0.0,40.0,12.0,90.0,21,2,1
184,54111,266.0,110.0,17.0,4.0,14.0,160.0,102.0,18.0,34.0,28.0,0.0,30.0,216.0,59,1,1
185,54211,114.0,50.0,40.0,0.0,56.0,64.0,51.0,0.0,51.0,0.0,24.0,18.0,54.0,82,2,1
186,54312,342.0,150.0,74.0,40.0,0.0,32.0,68.0,6.0,51.0,0.0,24.0,18.0,90.0,20,1,1
187,55114,114.0,30.0,38.0,4.0,28.0,0.0,51.0,0.0,68.0,0.0,16.0,36.0,0.0,22,2,1
188,55115,38.0,40.0,40.0,4.0,84.0,0.0,0.0,6.0,136.0,0.0,24.0,6.0,72.0,15,2,1
